#year	season	fleet	sex	type	shell	maturity	nsamp	datavector																															
2002	3	1	1	0	0	0	100	0.0000	0.0000	0.0002	0.0017	0.0046	0.0044	0.0051	0.0043	0.0054	0.0066	0.0151	0.0272	0.0504	0.0684	0.0822	0.0829	0.0901	0.0939	0.0985	0.0913	0.0881	0.0689	0.0553	0.0326	0.0156	0.0055	0.0014	0.0003	0.0002	0.0000	0.0000	#32325
2003	3	1	1	0	0	0	100	0.0000	0.0002	0.0012	0.0034	0.0053	0.0065	0.0144	0.0256	0.0323	0.0355	0.0335	0.0315	0.0322	0.0360	0.0525	0.0755	0.1019	0.1113	0.1079	0.0866	0.0714	0.0493	0.0376	0.0252	0.0147	0.0061	0.0020	0.0005	0.0001	0.0000	0.0000	#44665
2004	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0019	0.0061	0.0160	0.0210	0.0231	0.0316	0.0519	0.0613	0.0616	0.0486	0.0411	0.0350	0.0389	0.0474	0.0731	0.0927	0.1087	0.0917	0.0714	0.0426	0.0223	0.0083	0.0030	0.0006	0.0001	0.0000	0.0000	#38774
2005	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0005	0.0008	0.0017	0.0044	0.0128	0.0199	0.0243	0.0264	0.0383	0.0556	0.0801	0.0806	0.0849	0.0723	0.0769	0.0794	0.0949	0.0818	0.0703	0.0488	0.0292	0.0110	0.0038	0.0010	0.0002	0.0000	0.0000	#94627
2006	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0006	0.0019	0.0065	0.0140	0.0171	0.0166	0.0154	0.0200	0.0333	0.0412	0.0506	0.0611	0.0815	0.0980	0.1153	0.1191	0.1130	0.0806	0.0544	0.0327	0.0169	0.0070	0.0019	0.0007	0.0001	0.0001	0.0000	#73319
2007	3	1	1	0	0	0	100	0.0000	0.0000	0.0002	0.0006	0.0021	0.0034	0.0051	0.0089	0.0191	0.0340	0.0439	0.0477	0.0440	0.0422	0.0512	0.0676	0.0898	0.0952	0.0974	0.0929	0.0907	0.0692	0.0482	0.0271	0.0129	0.0045	0.0015	0.0003	0.0001	0.0001	0.0000	#115526
2008	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0002	0.0007	0.0026	0.0059	0.0078	0.0088	0.0118	0.0243	0.0445	0.0698	0.0986	0.1096	0.1039	0.0869	0.0768	0.0764	0.0771	0.0703	0.0561	0.0372	0.0207	0.0078	0.0019	0.0005	0.0001	0.0000	0.0000	#89774
2009	3	1	1	0	0	0	100	0.0000	0.0000	0.0001	0.0002	0.0005	0.0009	0.0016	0.0021	0.0038	0.0093	0.0213	0.0330	0.0371	0.0428	0.0638	0.0977	0.1347	0.1354	0.1172	0.0895	0.0658	0.0499	0.0393	0.0266	0.0164	0.0071	0.0025	0.0009	0.0002	0.0001	0.0000	#97874
2010	3	1	1	0	0	0	100	0.0000	0.0000	0.0001	0.0004	0.0006	0.0013	0.0028	0.0044	0.0061	0.0076	0.0113	0.0179	0.0285	0.0504	0.0806	0.1070	0.1302	0.1264	0.1210	0.1031	0.0820	0.0512	0.0297	0.0192	0.0114	0.0044	0.0017	0.0004	0.0001	0.0000	0.0000	#69288
2011	3	1	1	0	0	0	100	0.0000	0.0001	0.0004	0.0008	0.0031	0.0055	0.0097	0.0100	0.0089	0.0129	0.0147	0.0193	0.0264	0.0358	0.0564	0.0822	0.1109	0.1320	0.1354	0.1212	0.0927	0.0583	0.0325	0.0186	0.0081	0.0029	0.0009	0.0003	0.0001	0.0000	0.0000	#42955
2012	3	1	1	0	0	0	100	0.0000	0.0000	0.0001	0.0002	0.0003	0.0008	0.0014	0.0037	0.0088	0.0141	0.0189	0.0180	0.0192	0.0236	0.0360	0.0519	0.0748	0.0859	0.0992	0.1116	0.1276	0.1124	0.0809	0.0530	0.0354	0.0136	0.0057	0.0020	0.0006	0.0003	0.0000	#21407
2013	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0007	0.0017	0.0022	0.0047	0.0059	0.0096	0.0150	0.0258	0.0378	0.0545	0.0606	0.0672	0.0742	0.0760	0.0829	0.0844	0.1034	0.0983	0.0830	0.0591	0.0339	0.0127	0.0048	0.0013	0.0002	0.0000	0.0000	#32271
2014	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0003	0.0006	0.0008	0.0012	0.0017	0.0038	0.0063	0.0111	0.0155	0.0206	0.0344	0.0473	0.0701	0.0901	0.1050	0.1081	0.1050	0.0974	0.0847	0.0738	0.0583	0.0358	0.0184	0.0065	0.0022	0.0008	0.0002	0.0001	#31217
2015	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0002	0.0008	0.0017	0.0038	0.0059	0.0063	0.0070	0.0120	0.0271	0.0336	0.0490	0.0541	0.0673	0.0799	0.1071	0.1171	0.1372	0.1058	0.0803	0.0500	0.0287	0.0153	0.0069	0.0022	0.0004	0.0002	0.0000	#24533
2016	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0001	0.0002	0.0015	0.0034	0.0046	0.0064	0.0111	0.0188	0.0225	0.0279	0.0294	0.0399	0.0508	0.0675	0.0813	0.0938	0.1068	0.1214	0.1119	0.0871	0.0582	0.0317	0.0153	0.0052	0.0023	0.0006	0.0001	0.0001	#30030
2017	3	1	1	0	0	0	100	0.0000	0.0000	0.0001	0.0002	0.0006	0.0031	0.0115	0.0241	0.0341	0.0294	0.0235	0.0197	0.0248	0.0291	0.0456	0.0497	0.0644	0.0674	0.0825	0.0997	0.1049	0.0978	0.0815	0.0569	0.0314	0.0124	0.0043	0.0009	0.0005	0.0000	0.0000	#30006
2018	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0004	0.0027	0.0072	0.0082	0.0067	0.0110	0.0232	0.0432	0.0643	0.0723	0.0676	0.0570	0.0557	0.0563	0.0621	0.0649	0.0622	0.0647	0.0674	0.0688	0.0595	0.0425	0.0209	0.0085	0.0021	0.0004	0.0000	0.0000	#25635
2019	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0000	0.0001	0.0002	0.0019	0.0084	0.0170	0.0218	0.0194	0.0196	0.0356	0.0560	0.0866	0.0940	0.0978	0.0907	0.0755	0.0641	0.0617	0.0527	0.0562	0.0558	0.0409	0.0267	0.0123	0.0041	0.0008	0.0001	0.0001	#25999
2020	3	1	1	0	0	0	100	0.0000	0.0000	0.0000	0.0000	0.0007	0.0034	0.0075	0.0101	0.0142	0.0177	0.0300	0.0426	0.0589	0.0607	0.0573	0.0633	0.0859	0.1139	0.1189	0.1129	0.0870	0.0491	0.0276	0.0180	0.0104	0.0061	0.0031	0.0007	0.0002	0.0001	0.0000	#16650
2021	3	1	1	0	0	0	55	0.0000	0.0000	0.0000	0.0009	0.0000	0.0082	0.0127	0.0073	0.0127	0.0145	0.0200	0.0218	0.0418	0.0427	0.0718	0.0827	0.1073	0.1291	0.1027	0.1209	0.0818	0.0555	0.0300	0.0164	0.0082	0.0073	0.0009	0.0027	0.0000	0.0000	0.0000	#1100
2022	3	1	1	0	0	0	54.4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0009	0.0074	0.0064	0.0064	0.0119	0.0248	0.0386	0.0625	0.0579	0.0790	0.1324	0.1517	0.1507	0.1167	0.0790	0.0487	0.0101	0.0092	0.0037	0.0009	0.0000	0.0000	0.0000	#1088
